69,8,4,0.0194994
70,8,4,0.0194999
71,8,4,0.0194987
72,8,4,0.019495
73,8,4,0.0194978
74,8,4,0.0194967
75,8,4,0.0195008
76,8,4,0.0194963
77,8,4,0.0194942
78,8,4,0.0194983
79,8,4,0.0195006
80,8,4,0.0195002
81,8,4,0.019498
82,8,4,0.019491
83,8,4,0.0212483
84,8,4,0.0212482
85,8,4,0.0212488
86,8,4,0.0192464
87,8,4,0.019247
88,8,4,0.0192511
89,8,4,0.0194991
90,8,4,0.0194978
91,8,4,0.0194955
92,8,4,0.0194985
93,8,4,0.0194981
94,8,4,0.0194967
95,8,4,0.0194942
96,8,4,0.0194986
97,8,4,0.019497
98,8,4,0.0194982
99,8,4,0.019498
0,16,4,0.0116302
1,16,4,0.00655692
2,16,4,0.0124447
3,16,4,0.0189639
4,16,4,0.0195059
5,16,4,0.0194992
6,16,4,0.019467
7,16,4,0.0194967
8,16,4,0.0194997
9,16,4,0.0194998
10,16,4,0.0192472
11,16,4,0.0192457
12,16,4,0.0192499
13,16,4,0.0195003
14,16,4,0.0194998
15,16,4,0.0195146
16,16,4,0.019244
17,16,4,0.0192466
18,16,4,0.0192439
19,16,4,0.0194983
20,16,4,0.0194998
21,16,4,0.0195003
22,16,4,0.0194943
23,16,4,0.0194981
24,16,4,0.0194955
25,16,4,0.0192502
26,16,4,0.0182508
27,16,4,0.0182497
28,16,4,0.0184953
29,16,4,0.019499
30,16,4,0.0194949
31,16,4,0.0194985
32,16,4,0.0194985
33,16,4,0.0194946
34,16,4,0.0194982
35,16,4,0.0194978
36,16,4,0.0194984
37,16,4,0.0194988
38,16,4,0.0195004
39,16,4,0.0194973
40,16,4,0.0194949
41,16,4,0.0194963
42,16,4,0.0194973
43,16,4,0.0194953
44,16,4,0.0194996
45,16,4,0.019251
46,16,4,0.0192478
47,16,4,0.0192479
48,16,4,0.0194957
49,16,4,0.019495
50,16,4,0.0194985
51,16,4,0.0194989
52,16,4,0.0194959
53,16,4,0.0194978
54,16,4,0.0195003
55,16,4,0.0194997
56,16,4,0.0194989
57,16,4,0.0194954
58,16,4,0.0194989
59,16,4,0.0194991
60,16,4,0.0194983
61,16,4,0.0194952
62,16,4,0.019498
63,16,4,0.0194978
64,16,4,0.0194979
65,16,4,0.0194977
66,16,4,0.0194974
67,16,4,0.0195003
68,16,4,0.0194985
69,16,4,0.0194961
70,16,4,0.0192492
71,16,4,0.0192492
72,16,4,0.0192485
73,16,4,0.0194964
74,16,4,0.0195006
75,16,4,0.0217535
76,16,4,0.0240035
77,16,4,0.0239948
78,16,4,0.0217421
79,16,4,0.0194984
80,16,4,0.0194973
81,16,4,0.0192487
82,16,4,0.0192474
83,16,4,0.0192499
84,16,4,0.019498
85,16,4,0.0194989
86,16,4,0.0194937
87,16,4,0.0194977
88,16,4,0.0192472
89,16,4,0.018997
90,16,4,0.0189986
91,16,4,0.0192482
92,16,4,0.0194992
93,16,4,0.0194988
94,16,4,0.0194981
95,16,4,0.0194957
96,16,4,0.0194991
97,16,4,0.0194997
98,16,4,0.0194988
99,16,4,0.019497
0,32,4,0.0154351
1,32,4,0.0121099
2,32,4,0.018607
3,32,4,0.0219726
4,32,4,0.0194892
5,32,4,0.0194999
6,32,4,0.0195036
7,32,4,0.0194987
8,32,4,0.0194917
9,32,4,0.0194975
10,32,4,0.0194965
11,32,4,0.0194988
12,32,4,0.0194971
13,32,4,0.019497
14,32,4,0.0194969
15,32,4,0.0195226
16,32,4,0.0195014
17,32,4,0.019502
18,32,4,0.0194905
19,32,4,0.0194919
20,32,4,0.0192479
21,32,4,0.0192483
22,32,4,0.0192462
23,32,4,0.0194993
24,32,4,0.0194956
25,32,4,0.0194983
26,32,4,0.0194985
27,32,4,0.0194975
28,32,4,0.0194957
29,32,4,0.019498
30,32,4,0.0194983
31,32,4,0.0179995
32,32,4,0.0179971
33,32,4,0.0179968
34,32,4,0.0195017
35,32,4,0.0194959
36,32,4,0.0194951
37,32,4,0.0195008
38,32,4,0.0194978
39,32,4,0.0194953
40,32,4,0.019496
41,32,4,0.0194975
42,32,4,0.0194947
43,32,4,0.0194988
44,32,4,0.019499
45,32,4,0.0194972
46,32,4,0.0194966
47,32,4,0.0194964
48,32,4,0.0194974
49,32,4,0.0194988
50,32,4,0.0194971
51,32,4,0.0194966
52,32,4,0.019248
53,32,4,0.0192481
54,32,4,0.0189977
55,32,4,0.0192486
56,32,4,0.0192488
57,32,4,0.0194992
58,32,4,0.0194971
59,32,4,0.019496
60,32,4,0.0195004
61,32,4,0.0195007
62,32,4,0.0194989
63,32,4,0.0194955
64,32,4,0.0194966
65,32,4,0.019495
66,32,4,0.0194975
67,32,4,0.0194986
68,32,4,0.0194966
69,32,4,0.0194992
70,32,4,0.0194982
71,32,4,0.0194989
72,32,4,0.0194989
73,32,4,0.019496
74,32,4,0.0194975
75,32,4,0.0194973
76,32,4,0.0194979
77,32,4,0.0195012
78,32,4,0.0194986
79,32,4,0.0195004
80,32,4,0.0194917
81,32,4,0.0194979
82,32,4,0.0194974
83,32,4,0.0192493
84,32,4,0.0192478
85,32,4,0.0192469
86,32,4,0.0194985
87,32,4,0.0192474
88,32,4,0.0192488
89,32,4,0.019248
90,32,4,0.0194944
91,32,4,0.0194985
92,32,4,0.0194989
93,32,4,0.0194988
94,32,4,0.0194976
95,32,4,0.0194963
96,32,4,0.0194974
97,32,4,0.019499
98,32,4,0.0195013
99,32,4,0.0194986
0,64,4,0.0052831
1,64,4,0.00305512
2,64,4,0.000657046
3,64,4,0.000683784
4,64,4,0.000101086
5,64,4,8.75953e-05
6,64,4,8.59645e-05
7,64,4,8.36331e-05
8,64,4,8.1028e-05
9,64,4,9.4273e-05
10,64,4,9.80578e-05
11,64,4,9.76541e-05
12,64,4,8.44318e-05
13,64,4,8.01865e-05
14,64,4,7.94276e-05
15,64,4,0.000104615
16,64,4,9.85308e-05
17,64,4,9.85031e-05
18,64,4,7.69577e-05
19,64,4,7.80548e-05
20,64,4,7.67099e-05
21,64,4,8.81166e-05
22,64,4,0.000102404
23,64,4,0.000112657
24,64,4,0.000112239
25,64,4,0.00010049
26,64,4,8.82415e-05
27,64,4,8.64204e-05
28,64,4,8.98472e-05
29,64,4,0.000109882
30,64,4,0.000102438
31,64,4,9.95903e-05
32,64,4,8.25578e-05
33,64,4,7.91845e-05
34,64,4,9.15604e-05
35,64,4,0.000104728
36,64,4,0.000119039
37,64,4,0.00011535
38,64,4,0.000104778
39,64,4,9.06759e-05
40,64,4,7.94976e-05
41,64,4,7.83228e-05
42,64,4,9.13475e-05
43,64,4,9.06661e-05
44,64,4,0.000105417
45,64,4,0.000105053
46,64,4,0.000173663
47,64,4,0.000160866
48,64,4,0.000159524
49,64,4,0.000106651
50,64,4,0.000118235
51,64,4,0.000118844
52,64,4,0.00010464
53,64,4,9.30331e-05
54,64,4,9.72737e-05
55,64,4,0.000105729
56,64,4,0.000124493
57,64,4,0.00011944
58,64,4,0.000118228
59,64,4,9.86761e-05
60,64,4,8.60899e-05
61,64,4,8.23353e-05
62,64,4,8.20169e-05
63,64,4,8.00611e-05
64,64,4,7.84779e-05
65,64,4,9.01302e-05
66,64,4,0.000106719
67,64,4,0.000116617
68,64,4,0.000115425
69,64,4,0.00011268
70,64,4,0.000124014
71,64,4,0.000127643
72,64,4,0.000126639
73,64,4,0.000114233
74,64,4,0.000109464
75,64,4,0.000110413
76,64,4,9.96631e-05
77,64,4,9.1493e-05
78,64,4,8.33447e-05
79,64,4,9.71306e-05
80,64,4,9.7905e-05
81,64,4,9.37021e-05
82,64,4,7.79648e-05
83,64,4,7.99107e-05
84,64,4,9.78471e-05
85,64,4,0.000110709
86,64,4,0.000120588
87,64,4,0.000118684
88,64,4,0.000115951
89,64,4,0.00010455
90,64,4,9.17831e-05
91,64,4,8.04743e-05
92,64,4,7.9227e-05
93,64,4,7.99407e-05
94,64,4,8.38479e-05
95,64,4,9.84433e-05
96,64,4,0.000111193
97,64,4,0.000133046
98,64,4,0.000128755
99,64,4,0.000138869
0,128,4,0.0066406
1,128,4,0.00902906
2,128,4,0.0124439
3,128,4,0.0189428
4,128,4,0.0195007
5,128,4,0.0195047
6,128,4,0.0195003
7,128,4,0.0194909
8,128,4,0.019496
9,128,4,0.0192494
10,128,4,0.019245
11,128,4,0.0192486
12,128,4,0.0194967
13,128,4,0.0194967
14,128,4,0.0195002
15,128,4,0.0195149
16,128,4,0.0194945
17,128,4,0.0194974
18,128,4,0.0194947
19,128,4,0.0194982
20,128,4,0.0194988
21,128,4,0.0194958
22,128,4,0.0194954
23,128,4,0.0192499
24,128,4,0.0192519
25,128,4,0.0192477
26,128,4,0.0194928
27,128,4,0.0194977
28,128,4,0.0194996
29,128,4,0.0195002
30,128,4,0.0194963
31,128,4,0.0194954
32,128,4,0.0194995
33,128,4,0.0194987
34,128,4,0.0194975
35,128,4,0.019495
36,128,4,0.0195
37,128,4,0.019502
38,128,4,0.0195001
39,128,4,0.019497
40,128,4,0.0194879
41,128,4,0.0194993
42,128,4,0.0195002
43,128,4,0.0194973
44,128,4,0.0194945
45,128,4,0.0194988
46,128,4,0.0194979
47,128,4,0.0194975
48,128,4,0.0195039
49,128,4,0.0195009
50,128,4,0.019498
51,128,4,0.019488
52,128,4,0.0194993
53,128,4,0.0194987
54,128,4,0.0194982
55,128,4,0.019495
56,128,4,0.0194986
57,128,4,0.0194997
58,128,4,0.0194991
59,128,4,0.0194955
60,128,4,0.0194962
61,128,4,0.0194988
62,128,4,0.0194993
63,128,4,0.0194989
64,128,4,0.0194948
65,128,4,0.0194999
66,128,4,0.0195086
67,128,4,0.0195003
68,128,4,0.0194928
69,128,4,0.0194949
70,128,4,0.019506
71,128,4,0.0194988
72,128,4,0.0194995
73,128,4,0.0194875
74,128,4,0.0194984
75,128,4,0.0179968
76,128,4,0.0180005
77,128,4,0.0179976
78,128,4,0.019499
79,128,4,0.0192483
80,128,4,0.0192452
81,128,4,0.0192486
82,128,4,0.0194988
83,128,4,0.019498
84,128,4,0.0194948
85,128,4,0.0194972
86,128,4,0.0195008
87,128,4,0.0192505
88,128,4,0.0192461
89,128,4,0.0192448
90,128,4,0.0194972
91,128,4,0.0195015
92,128,4,0.019499
93,128,4,0.0194998
94,128,4,0.0194978
95,128,4,0.0194977
96,128,4,0.0194944
97,128,4,0.0194982
98,128,4,0.019497
99,128,4,0.0194995
0,256,4,0.0116046
1,256,4,0.00658282
2,256,4,0.0124482
3,256,4,0.0189451
4,256,4,0.0194991
5,256,4,0.0194972
6,256,4,0.0194942
7,256,4,0.0194997
8,256,4,0.0195018
9,256,4,0.0194985
10,256,4,0.0194944
11,256,4,0.0194968
12,256,4,0.0195004
13,256,4,0.0195012
14,256,4,0.0194995
15,256,4,0.0195102
16,256,4,0.0194953
17,256,4,0.0194986
18,256,4,0.019498
19,256,4,0.0194978
20,256,4,0.019491
21,256,4,0.0194977
22,256,4,0.0195003
23,256,4,0.0194988
24,256,4,0.0194948
25,256,4,0.0194978
26,256,4,0.0194967
27,256,4,0.0192487
28,256,4,0.019249
29,256,4,0.0192481
30,256,4,0.0194958
31,256,4,0.0194989
32,256,4,0.019497
33,256,4,0.0194976
34,256,4,0.0194979
35,256,4,0.0194979
36,256,4,0.0195001
37,256,4,0.0192528
38,256,4,0.0192508
39,256,4,0.0192447
40,256,4,0.0194882
41,256,4,0.0192479
42,256,4,0.0192492
43,256,4,0.019247
44,256,4,0.0194977
45,256,4,0.019497
46,256,4,0.0194981
47,256,4,0.019499
48,256,4,0.0195009
49,256,4,0.0194956
50,256,4,0.0194987
51,256,4,0.0194981
52,256,4,0.0194977
53,256,4,0.0194965
54,256,4,0.0194988
55,256,4,0.0194979
56,256,4,0.0194971
57,256,4,0.0194969
58,256,4,0.0194986
59,256,4,0.019499
60,256,4,0.0194972
61,256,4,0.0192466
62,256,4,0.0192479
63,256,4,0.0192482
64,256,4,0.0194974
65,256,4,0.0194987
66,256,4,0.019498
67,256,4,0.0194984
68,256,4,0.0194965
69,256,4,0.0194972
70,256,4,0.0194991
71,256,4,0.0194993
72,256,4,0.0194999
73,256,4,0.0194979
74,256,4,0.0194993
75,256,4,0.0182456
76,256,4,0.0182457
77,256,4,0.0182496
78,256,4,0.0194964
79,256,4,0.0194969
80,256,4,0.0194993
81,256,4,0.0194973
82,256,4,0.0194993
83,256,4,0.0194984
84,256,4,0.0194968
85,256,4,0.0194963
86,256,4,0.0194999
87,256,4,0.0194995
88,256,4,0.0195004
89,256,4,0.0194968
90,256,4,0.0192453
91,256,4,0.0192503
92,256,4,0.0192489
93,256,4,0.0194979
94,256,4,0.0194956
95,256,4,0.0194987
96,256,4,0.0194989
97,256,4,0.0192484
98,256,4,0.0192455
99,256,4,0.0192508
0,512,4,0.0160057
1,512,4,0.0165499
2,512,4,0.0230496
3,512,4,0.0263626
4,512,4,0.0258895
5,512,4,0.025641
6,512,4,0.0256377
7,512,4,0.0256272
8,512,4,0.0256505
9,512,4,0.025889
10,512,4,0.0258981
11,512,4,0.0259113
12,512,4,0.0259059
13,512,4,0.0258842
14,512,4,0.0258816
15,512,4,0.0258991
16,512,4,0.0194946
17,512,4,0.0195
18,512,4,0.0194973
19,512,4,0.0192488
20,512,4,0.0192436
21,512,4,0.019248
22,512,4,0.0194957
23,512,4,0.019496
24,512,4,0.0194974
25,512,4,0.0194977
26,512,4,0.0194978
27,512,4,0.0194987
28,512,4,0.0194953
29,512,4,0.0194976
30,512,4,0.0194985
31,512,4,0.0194964
32,512,4,0.0192479
33,512,4,0.019247
34,512,4,0.0192473
35,512,4,0.0194982
36,512,4,0.0194997
37,512,4,0.0195
38,512,4,0.0195001
39,512,4,0.0194968
40,512,4,0.0194897
41,512,4,0.0209988
42,512,4,0.0209966
43,512,4,0.0219975
44,512,4,0.0204984
