55,8,4,8.78414e-05
56,8,4,8.81462e-05
57,8,4,7.16283e-05
58,8,4,7.05984e-05
59,8,4,8.52162e-05
60,8,4,8.48607e-05
61,8,4,8.44647e-05
62,8,4,8.77031e-05
63,8,4,8.94193e-05
64,8,4,9.04261e-05
65,8,4,7.24345e-05
66,8,4,8.046e-05
67,8,4,0.000105294
68,8,4,0.000115341
69,8,4,0.000130817
70,8,4,0.000144483
71,8,4,0.000155536
72,8,4,0.000161623
73,8,4,0.000139662
74,8,4,0.000134604
75,8,4,0.000120392
76,8,4,0.000122352
77,8,4,0.000124969
78,8,4,0.000124112
79,8,4,0.000122872
80,8,4,0.000118459
81,8,4,0.000116591
82,8,4,0.000114462
83,8,4,0.00011765
84,8,4,0.000116866
85,8,4,0.000110426
86,8,4,0.000109668
87,8,4,9.94981e-05
88,8,4,9.35772e-05
89,8,4,8.22425e-05
90,8,4,8.36002e-05
91,8,4,9.97009e-05
92,8,4,9.94003e-05
93,8,4,0.000100099
94,8,4,8.46426e-05
95,8,4,8.6939e-05
96,8,4,8.48805e-05
97,8,4,8.64535e-05
98,8,4,8.58868e-05
99,8,4,0.000114124
0,16,4,8.30574e-05
1,16,4,0.000151692
2,16,4,0.000217669
3,16,4,0.000269455
4,16,4,0.000159877
5,16,4,0.000110852
6,16,4,8.35434e-05
7,16,4,7.62315e-05
8,16,4,9.30913e-05
9,16,4,0.000113665
10,16,4,0.000139018
11,16,4,0.000153788
12,16,4,0.000152947
13,16,4,0.000143965
14,16,4,0.000123413
15,16,4,0.000125635
16,16,4,0.000141605
17,16,4,0.000138565
18,16,4,0.000143389
19,16,4,0.00011764
20,16,4,0.000117029
21,16,4,0.000113687
22,16,4,0.000126802
23,16,4,0.000131855
24,16,4,0.000152233
25,16,4,0.000144734
26,16,4,0.000142675
27,16,4,0.000131001
28,16,4,0.000122835
29,16,4,0.000122441
30,16,4,0.000103158
31,16,4,9.83707e-05
32,16,4,8.48677e-05
33,16,4,8.44193e-05
34,16,4,8.68314e-05
35,16,4,8.90382e-05
36,16,4,9.39507e-05
37,16,4,9.34766e-05
38,16,4,9.43581e-05
39,16,4,9.23243e-05
40,16,4,9.12603e-05
41,16,4,8.90582e-05
42,16,4,8.89006e-05
43,16,4,0.000110835
44,16,4,0.000112723
45,16,4,0.000113046
46,16,4,9.27281e-05
47,16,4,9.07318e-05
48,16,4,0.000108147
49,16,4,0.000110942
50,16,4,0.000109236
51,16,4,8.68563e-05
52,16,4,7.70681e-05
53,16,4,7.26774e-05
54,16,4,7.07766e-05
55,16,4,6.97216e-05
56,16,4,7.0611e-05
57,16,4,7.40022e-05
58,16,4,7.45985e-05
59,16,4,8.88833e-05
60,16,4,0.00010032
61,16,4,0.00011519
62,16,4,0.000114043
63,16,4,0.000111643
64,16,4,0.000111584
65,16,4,0.00011135
66,16,4,0.00011256
67,16,4,0.000109685
68,16,4,9.95707e-05
69,16,4,8.76412e-05
70,16,4,7.50239e-05
71,16,4,7.16879e-05
72,16,4,8.21732e-05
73,16,4,9.28603e-05
74,16,4,0.000103541
75,16,4,0.000120623
76,16,4,0.000110574
77,16,4,9.90599e-05
78,16,4,8.07527e-05
79,16,4,9.08067e-05
80,16,4,0.000121435
81,16,4,0.000132162
82,16,4,0.000137713
83,16,4,0.00012423
84,16,4,0.000115842
85,16,4,0.000111839
86,16,4,0.000106995
87,16,4,0.000104886
88,16,4,0.000116938
89,16,4,0.000114146
90,16,4,0.000125996
91,16,4,0.000121578
92,16,4,0.000114199
93,16,4,0.000106394
94,16,4,8.76004e-05
95,16,4,8.66265e-05
96,16,4,7.36238e-05
97,16,4,7.39601e-05
98,16,4,7.43035e-05
99,16,4,7.63969e-05
0,32,4,6.2726e-05
1,32,4,0.000180834
2,32,4,0.000250441
3,32,4,0.000281643
4,32,4,0.000174876
5,32,4,0.00016554
6,32,4,0.000179778
7,32,4,0.00017685
8,32,4,0.000167622
9,32,4,0.000190024
10,32,4,0.000193025
11,32,4,0.000164799
12,32,4,0.000153608
13,32,4,0.000137184
14,32,4,0.00015304
15,32,4,0.000173833
16,32,4,0.000146825
17,32,4,0.000147566
18,32,4,0.000162703
19,32,4,0.000175026
20,32,4,0.000170427
21,32,4,0.000157816
22,32,4,0.000141721
23,32,4,0.000119366
24,32,4,0.000114799
25,32,4,0.000114908
26,32,4,0.000111428
27,32,4,0.000105099
28,32,4,0.000105229
29,32,4,0.000106223
30,32,4,0.000105392
31,32,4,0.000106775
32,32,4,0.000107731
33,32,4,0.000110304
34,32,4,0.000106186
35,32,4,0.000102321
36,32,4,9.7008e-05
37,32,4,9.69365e-05
38,32,4,9.82636e-05
39,32,4,0.000118078
40,32,4,0.000138019
41,32,4,0.000137072
42,32,4,0.000116976
43,32,4,0.000101866
44,32,4,0.00010577
45,32,4,0.000112708
46,32,4,0.00011477
47,32,4,0.000117583
48,32,4,0.00011892
49,32,4,0.000122256
50,32,4,0.000119699
51,32,4,0.000114862
52,32,4,0.000123957
53,32,4,0.00013385
54,32,4,0.000143521
55,32,4,0.000138369
56,32,4,0.000137179
57,32,4,0.000140236
58,32,4,0.000140871
59,32,4,0.00012981
60,32,4,0.000115408
61,32,4,0.000118566
62,32,4,0.000118427
63,32,4,0.000120979
64,32,4,0.000104775
65,32,4,0.000102835
66,32,4,0.000108247
67,32,4,0.000118562
68,32,4,0.000129109
69,32,4,0.000132811
70,32,4,0.000135629
71,32,4,0.0001511
72,32,4,0.000147396
73,32,4,0.00014428
74,32,4,0.000131426
75,32,4,0.000133655
76,32,4,0.000133585
77,32,4,0.000131288
78,32,4,0.000128823
79,32,4,0.000130475
80,32,4,0.000132576
81,32,4,0.000149062
82,32,4,0.000160727
83,32,4,0.000159875
84,32,4,0.000163609
